customer_id,account_id,age,account_status_id,income_range,gender_id,occupation_id,marital_status_id,state_id,disbursement_amount,financing_term,payment_amount,total_call,call_successful,call_unsuccessful,ptp_count,ptp_broken,ptp_kept,month_in_areas,total_arrears_amount,total_outstanding_amount,current_balance_amount,product_type_category_id
2213278,1719880,30,2,3000,4.0,1.0,2.0,13.0,2120.0,135.0,175.0,6,0,6,0,0,0,1,371.69,10671.8,14163.16,1
898035,1719933,52,2,5000,4.0,3.0,2.0,2.0,37000.0,117.0,1533.0,11,4,7,2,2,0,0,30.01,115135.54,161725.59,1
746331,1719945,52,2,3000,4.0,35.0,2.0,1.0,54000.0,114.0,565.0,11,0,11,0,0,0,0,180.52,20900.41,22876.0,2
1252350,1719961,36,2,5000,5.0,30.0,2.0,4.0,8040.0,180.0,265.0,7,1,6,1,0,1,0,134.99,16948.08,19460.0,1
185650,1720028,37,2,3000,4.0,28.0,2.0,12.0,100000.0,130.0,452.0,15,2,13,2,2,0,0,218.33,21721.27,28560.83,1
989699,1720030,56,2,5000,4.0,35.0,2.0,1.0,150000.0,100.0,1059.0,3,1,2,1,1,0,0,0.0,46093.52,57381.87,1
1500214,1720080,50,2,3000,4.0,5.0,2.0,13.0,20000.0,300.0,428.0,3,0,3,0,0,0,1,438.2,27558.67,34006.78,10
965000,1720175,47,2,7000,4.0,26.0,2.0,16.0,40000.0,130.0,768.0,1,0,1,0,0,0,0,0.0,20185.35,25650.76,1
1280339,1720196,42,2,3000,4.0,5.0,2.0,14.0,56000.0,249.0,530.0,1,0,1,0,0,0,0,0.0,48668.22,60585.0,1
106937,1720227,38,2,5000,4.0,30.0,2.0,6.0,200000.0,249.0,1173.0,2,0,2,0,0,0,0,0.0,132178.47,166526.0,1
2158510,1720235,33,2,3000,4.0,1.0,2.0,2.0,3980.0,140.0,767.0,8,1,7,1,1,0,0,169.06,44621.56,58673.32,1
399366,1720260,47,2,5000,4.0,1.0,2.0,8.0,50000.0,349.0,489.0,9,3,6,3,1,2,0,487.95,88116.31,244148.45,10
575655,1720449,34,2,5000,4.0,34.0,2.0,13.0,65000.0,124.0,763.0,23,1,22,0,0,0,1,1191.8,36291.11,37688.4,2
133260,1720464,36,2,11000,4.0,39.0,2.0,2.0,710.0,420.0,2576.0,5,2,3,2,1,1,0,2323.37,560897.73,1952058.64,10
1258437,1720521,48,2,7000,4.0,12.0,2.0,2.0,40000.0,120.0,702.0,13,0,13,0,0,0,1,1117.2,30496.58,32673.6,2
451955,1720564,35,2,7000,4.0,39.0,2.0,8.0,100000.0,114.0,767.0,5,0,5,0,0,0,0,0.0,46188.98,52905.4,2
26302,1720573,59,2,3000,4.0,3.0,2.0,2.0,380.0,90.0,719.0,18,4,14,3,3,0,0,70.0,9984.02,10785.0,2
794634,1720613,33,2,3000,5.0,34.0,2.0,9.0,7210.0,135.0,507.0,11,2,9,2,1,1,0,0.0,34255.16,47509.17,1
390204,1720659,60,2,3000,4.0,9.0,4.0,1.0,80000.0,68.0,585.0,5,3,2,3,1,2,0,0.0,5554.46,7334.13,1
2063650,1720743,45,2,3000,5.0,30.0,1.0,2.0,850.0,363.0,469.4,9,0,9,0,0,0,0,38.66,86946.66,133740.85,10
428154,1720786,46,2,3000,5.0,35.0,2.0,4.0,3700.0,180.0,624.0,9,0,9,0,0,0,0,72.99,19957.79,21818.83,1
629387,1720792,35,2,9000,4.0,28.0,2.0,14.0,75000.0,131.0,912.0,3,1,2,1,1,0,0,0.0,61307.57,87676.22,1
500942,1720933,37,2,3000,4.0,35.0,2.0,8.0,150000.0,240.0,383.0,2,2,0,2,2,0,0,0.0,33553.4,43159.0,1
1750957,1721052,42,2,7000,4.0,30.0,2.0,3.0,107200.0,136.0,1192.0,4,0,4,0,0,0,0,1143.01,63820.64,88287.58,1
1447540,1721066,34,2,5000,4.0,38.0,2.0,14.0,44000.0,120.0,669.0,2,0,2,0,0,0,0,17.92,49145.94,74363.38,1
2075818,1721085,37,2,3000,5.0,35.0,2.0,13.0,3380.0,247.0,584.0,2,0,2,0,0,0,0,0.0,61832.78,77308.0,1
51031,1721087,47,2,3000,4.0,30.0,2.0,11.0,195000.0,121.0,578.0,2,1,1,1,1,0,0,459.64,22481.79,38461.0,1
2173900,1721160,32,2,5000,5.0,38.0,2.0,2.0,120000.0,139.0,632.0,7,3,4,3,2,1,0,0.0,44136.79,65980.6,1
2220,1721179,35,2,3000,5.0,35.0,2.0,14.0,100000.0,250.0,470.0,3,0,3,0,0,0,0,353.08,46126.93,57499.42,1
1693583,1721246,41,2,5000,4.0,34.0,2.0,2.0,13000.0,302.0,1309.0,17,3,14,3,2,0,0,0.62,126064.75,152626.54,1
30212,1721294,41,2,5000,4.0,30.0,2.0,8.0,45000.0,120.0,768.0,2,0,2,0,0,0,0,325.66,22701.42,28337.05,1
375741,1721372,55,2,5000,4.0,35.0,2.0,16.0,7140.0,113.0,605.0,4,0,4,0,0,0,0,0.0,35524.31,45793.2,1
635031,1721548,35,2,3000,4.0,35.0,1.0,2.0,70000.0,246.0,150.0,1,1,0,1,0,0,0,0.18,33173.53,40479.0,1
1694343,1721551,53,2,5000,4.0,26.0,2.0,6.0,200000.0,134.0,1173.0,1,1,0,0,0,0,0,0.0,72733.72,98300.1,1
1582072,1721622,36,2,3000,4.0,5.0,2.0,12.0,10000.0,120.0,334.0,5,0,5,0,0,0,0,333.63,13085.55,14335.12,1
1369382,1721655,39,2,3000,4.0,35.0,2.0,1.0,172663.2,133.0,445.0,10,2,8,1,0,0,2,1132.25,26007.55,34067.76,1
132019,1721750,37,2,3000,4.0,1.0,2.0,12.0,1054663.8,120.0,330.0,4,0,4,0,0,0,0,287.09,11034.09,14119.06,1
1512130,1721824,50,2,7000,5.0,30.0,2.0,2.0,15000.0,186.0,1248.0,5,0,5,0,0,0,0,1081.89,64415.03,71153.82,1
310015,1721842,51,2,11000,5.0,45.0,2.0,1.0,33000.0,136.0,1146.0,2,1,1,1,0,1,0,0.0,80012.7,114459.29,1
536106,1721968,48,2,5000,4.0,4.0,2.0,9.0,54900.0,138.0,698.0,5,1,4,1,1,0,0,0.0,56061.66,81520.08,1
783516,1721970,41,2,5000,5.0,45.0,2.0,11.0,135898.22,367.0,1443.0,7,2,5,2,2,0,0,0.0,284549.19,827001.64,10
898938,1722066,39,2,7000,4.0,10.0,2.0,2.0,27000.0,234.0,1500.0,10,0,10,0,0,0,1,2665.4,152616.83,189752.56,1
633950,1722140,46,2,3000,4.0,28.0,2.0,2.0,2400.0,186.0,560.0,2,0,2,0,0,0,0,0.0,22691.13,24470.0,1
2194847,1722173,33,2,5000,4.0,28.0,2.0,9.0,75000.0,126.0,600.0,2,0,2,0,0,0,0,552.82,30983.93,34704.66,1
751945,1722178,47,2,7000,4.0,1.0,2.0,16.0,155900.0,249.0,303.0,2,0,2,0,0,0,0,63.85,33400.95,41431.0,1
172209,1722218,28,2,3000,5.0,29.0,1.0,2.0,113600.0,437.0,1055.0,17,1,16,1,1,0,0,2.75,222590.84,792133.05,10
325234,1722327,42,2,3000,4.0,4.0,2.0,2.0,12000.0,186.0,364.0,1,1,0,1,0,1,0,0.0,11983.38,13034.0,1
2218936,1722348,48,2,7000,5.0,34.0,2.0,12.0,6590.0,120.0,1510.0,2,1,1,1,1,0,0,0.0,115164.25,132796.4,2
1521267,1722454,44,2,5000,4.0,30.0,1.0,2.0,50000.0,114.0,621.0,1,0,1,0,0,0,0,621.0,22862.24,24837.0,2
1194468,1722456,43,2,5000,4.0,1.0,2.0,14.0,119000.0,407.0,1014.0,2,2,0,2,0,1,0,0.0,195754.74,622996.65,10
216275,1722538,37,2,5000,4.0,10.0,2.0,6.0,23600.0,126.0,800.0,6,2,4,2,1,1,0,0.0,33175.15,36700.0,1
896179,1722637,58,2,7000,4.0,30.0,2.0,2.0,5520.0,204.0,6650.0,2,1,1,1,1,0,0,0.0,318702.25,1176278.55,10
819626,1722679,38,2,3000,4.0,35.0,2.0,2.0,48000.0,249.0,620.0,1,1,0,1,0,0,0,0.0,62844.96,81045.0,1
1782615,1722712,33,2,5000,4.0,45.0,2.0,9.0,15000.0,114.0,461.0,1,1,0,0,0,0,0,0.0,34524.61,41418.8,2
984892,1722846,47,2,7000,5.0,30.0,1.0,2.0,78000.0,137.0,1124.0,2,0,2,0,0,0,0,1014.34,41631.92,52253.28,1
4017,1722996,42,2,3000,4.0,4.0,1.0,16.0,200000.0,138.0,508.0,2,0,2,0,0,0,0,0.0,28124.99,36078.06,1
920544,1723092,41,2,3000,4.0,1.0,2.0,8.0,35000.0,136.0,277.0,2,0,2,0,0,0,0,0.37,11680.85,13789.23,1
186566,1723232,41,2,7000,5.0,45.0,2.0,11.0,50000.0,131.0,713.0,7,3,4,3,3,0,0,670.02,57471.82,85025.12,1
1517026,1723331,41,2,5000,5.0,29.0,2.0,2.0,81500.0,180.0,627.0,6,1,5,0,0,0,1,985.13,25907.95,27860.84,1
1552663,1723379,56,2,3000,4.0,3.0,2.0,13.0,47000.0,216.0,380.0,1,0,1,0,0,0,0,249.42,13009.68,25047.49,10
2150023,1723497,40,2,5000,5.0,26.0,2.0,4.0,20000.0,84.0,673.0,5,2,3,2,1,1,0,0.0,9649.14,12050.15,1
1508940,1723521,32,2,3000,4.0,1.0,1.0,4.0,126500.0,125.0,384.0,8,1,7,1,1,0,1,568.92,11147.83,14259.0,1
2128968,1723650,34,2,3000,4.0,4.0,2.0,6.0,800.0,126.0,369.0,1,0,1,0,0,0,0,0.0,16277.78,17665.8,1
961197,1723686,38,2,3000,5.0,35.0,2.0,12.0,88000.0,135.0,683.0,3,3,0,3,2,1,0,0.0,44777.42,61527.99,1
1215910,1723826,56,2,7000,4.0,26.0,2.0,2.0,18000.0,150.0,2088.0,3,0,3,0,0,0,1,4171.89,22873.26,22870.18,1
603115,1723866,33,2,5000,4.0,18.0,2.0,2.0,3910.0,137.0,1350.0,8,8,0,6,6,0,0,1187.68,117141.53,170326.8,1
238159,1724159,43,2,7000,5.0,45.0,2.0,16.0,5000.0,117.0,1245.0,2,0,2,0,0,0,0,0.0,96973.41,110713.0,2
1370553,1724175,37,2,5000,5.0,30.0,1.0,4.0,135345.33,120.0,696.0,1,0,1,0,0,0,0,0.01,24785.28,27084.01,1
1731664,1724182,50,2,5000,5.0,29.0,2.0,12.0,95000.0,144.0,495.0,10,0,10,0,0,0,0,37.08,3412.32,3906.89,1
1075244,1724341,52,2,7000,4.0,30.0,2.0,2.0,13500.0,141.0,985.0,9,5,4,3,2,0,0,0.0,54734.33,78421.33,1
338375,1724369,41,2,5000,4.0,27.0,2.0,13.0,52000.0,120.0,542.0,6,0,6,0,0,0,0,430.0,24007.48,25893.5,2
2101980,1724387,51,2,7000,5.0,45.0,2.0,14.0,3050.0,120.0,1732.0,6,1,5,0,0,0,1,3465.42,39223.47,39746.0,1
121423,1724403,32,2,7000,5.0,39.0,2.0,2.0,85000.0,120.0,1080.0,7,5,2,4,1,2,0,0.0,87564.12,129666.41,1
183110,1724494,41,2,3000,5.0,26.0,1.0,4.0,50000.0,324.0,1112.0,9,2,7,1,1,0,1,2154.52,117088.61,186383.23,10
31373,1724731,40,2,3000,4.0,1.0,2.0,6.0,360.0,438.0,784.0,7,4,3,4,4,0,1,1543.06,156620.35,534856.25,10
463833,1724857,32,2,5000,4.0,26.0,2.0,6.0,64000.0,120.0,460.0,2,2,0,2,2,0,0,0.0,22156.71,30438.13,1
431485,1724897,51,2,7000,4.0,45.0,2.0,10.0,200000.0,120.0,1013.0,8,0,8,0,0,0,0,0.0,58057.27,81552.86,1
48383,1724940,57,2,7000,4.0,30.0,2.0,9.0,1810.0,182.0,6789.0,3,1,2,1,1,0,0,0.0,738489.82,1623741.36,10
1600840,1724991,34,2,3000,4.0,1.0,2.0,2.0,40000.0,142.0,841.0,3,3,0,3,2,1,0,0.0,67091.08,100222.02,1
867905,1725068,52,2,3000,4.0,34.0,2.0,1.0,175000.0,120.0,286.0,3,1,2,1,1,0,0,0.0,10353.16,11338.6,1
155277,1725142,38,2,7000,4.0,28.0,2.0,2.0,118000.0,189.0,386.0,15,4,11,4,3,1,0,379.96,19568.76,20843.4,1
1643387,1725215,31,2,3000,4.0,34.0,1.0,2.0,200000.0,135.0,690.0,8,1,7,1,1,0,0,0.35,52801.18,77593.53,1
189297,1725226,41,2,5000,5.0,30.0,2.0,16.0,50000.0,135.0,1059.0,11,1,10,1,1,0,1,1272.15,81481.14,117679.42,1
610855,1725237,39,2,3000,5.0,35.0,2.0,14.0,141000.0,120.0,450.0,9,3,6,3,2,1,0,0.0,22153.49,25071.8,2
1628189,1725251,40,2,3000,5.0,20.0,1.0,13.0,16000.0,366.0,263.0,8,3,5,3,3,0,0,256.95,29523.33,45722.45,10
820918,1725270,35,2,3000,4.0,30.0,1.0,1.0,8350.0,120.0,355.0,10,0,10,0,0,0,0,287.08,10044.3,16163.96,1
1780217,1725329,56,2,7000,5.0,45.0,2.0,8.0,75400.0,168.0,1350.0,8,0,8,0,0,0,0,1057.59,28595.29,30671.6,1
660372,1725368,33,2,3000,5.0,1.0,2.0,2.0,4340.0,140.0,372.0,4,0,4,0,0,0,0,148.97,23549.85,31525.88,1
1588494,1725380,38,2,5000,4.0,21.0,2.0,16.0,35000.0,139.0,778.0,1,1,0,1,1,0,0,0.0,45786.94,58927.9,1
1075918,1725436,37,2,7000,4.0,34.0,2.0,6.0,55000.0,117.0,524.0,6,0,6,0,0,0,0,498.0,39472.94,47113.0,2
1020336,1725484,49,2,3000,4.0,3.0,2.0,11.0,100000.0,180.0,418.0,7,0,7,0,0,0,0,36.74,9599.18,10346.54,1
603842,1725526,36,2,5000,5.0,30.0,2.0,16.0,169000.0,124.0,664.0,11,2,9,2,2,0,1,769.4,40409.91,43855.1,2
273869,1725628,42,2,3000,4.0,35.0,2.0,10.0,81000.0,368.0,650.0,11,0,11,0,0,0,0,646.34,100349.6,106940.7,10
1293571,1725706,31,2,3000,5.0,35.0,1.0,2.0,159000.0,114.0,524.0,1,1,0,1,0,1,0,0.0,20946.39,23009.0,2
1128380,1725734,40,2,3000,5.0,29.0,2.0,4.0,60000.0,186.0,520.0,2,0,2,0,0,0,0,0.0,17457.13,19140.0,1
984721,1726035,45,2,3000,4.0,30.0,2.0,2.0,77000.0,150.0,662.0,2,1,1,1,0,1,0,0.0,14985.49,15841.26,1
335575,1726246,29,2,3000,4.0,4.0,2.0,11.0,155000.0,135.0,574.0,3,1,2,1,1,0,0,0.0,42989.31,63679.08,1
883768,1726404,29,2,3000,4.0,1.0,1.0,8.0,100000.0,171.0,170.0,4,2,2,2,2,0,2,340.95,13235.95,13601.9,1
1135337,1726492,50,2,5000,5.0,35.0,2.0,16.0,23000.0,120.0,473.0,3,0,3,0,0,0,0,0.0,29009.14,42120.95,1
22993,1726584,32,2,5000,4.0,10.0,2.0,2.0,2000.0,126.0,720.0,3,2,1,2,2,0,0,0.0,29664.53,33030.0,1
1479286,1726682,36,2,5000,5.0,45.0,2.0,12.0,60000.0,131.0,2283.0,13,7,6,7,7,0,1,2957.56,186611.64,279892.34,1
107650,1726800,27,2,7000,5.0,45.0,1.0,16.0,160000.0,120.0,564.0,1,0,1,0,0,0,0,0.0,42918.38,50732.5,2
1370591,1726877,48,2,5000,5.0,35.0,2.0,16.0,16000.0,135.0,759.0,2,0,2,0,0,0,0,0.0,55565.26,79748.1,1
1334689,1726899,29,2,5000,4.0,42.0,2.0,4.0,81000.0,123.0,687.0,14,1,13,1,1,0,1,694.0,38623.23,41904.0,2
159457,1726902,26,2,3000,4.0,10.0,2.0,8.0,55000.0,120.0,817.0,11,0,11,0,0,0,0,0.0,38665.23,48967.62,1
1504681,1726927,38,2,11000,5.0,30.0,2.0,12.0,144000.0,246.0,581.0,5,1,4,1,1,0,1,1161.65,50496.14,60383.18,1
788957,1726965,29,2,3000,5.0,40.0,2.0,6.0,1390.0,135.0,642.0,9,0,9,0,0,0,0,0.0,50515.5,74076.96,1
810525,1727040,40,2,3000,4.0,35.0,1.0,2.0,36800.0,240.0,317.0,5,0,5,0,0,0,0,124.1,28097.15,36031.84,1
745984,1727073,32,2,3000,5.0,33.0,1.0,8.0,31600.0,129.0,659.0,11,1,10,1,1,0,1,1254.12,22248.53,26193.8,1
1628574,1727074,54,2,5000,4.0,20.0,2.0,1.0,41500.0,156.0,1722.0,1,1,0,1,0,1,0,0.0,82720.79,91723.26,1
1630855,1727355,33,2,5000,5.0,30.0,2.0,3.0,35000.0,120.0,475.0,1,0,1,0,0,0,0,428.01,30150.03,41416.24,1
335848,1727424,56,2,7000,4.0,1.0,2.0,3.0,13170.0,66.0,722.0,3,1,2,1,1,0,0,658.0,26971.19,29516.0,2
1328160,1727470,51,2,7000,4.0,12.0,4.0,13.0,6210.0,120.0,983.0,3,0,3,0,0,0,1,1730.8,82812.7,96076.78,2
1710255,1727489,37,2,7000,5.0,45.0,2.0,2.0,26000.0,126.0,1241.0,1,0,1,0,0,0,0,0.0,56044.85,60726.0,1
40108,1727527,36,2,3000,4.0,3.0,2.0,2.0,35000.0,120.0,395.0,1,1,0,0,0,0,0,0.0,14999.49,16484.0,1
1707249,1727685,33,2,3000,5.0,10.0,2.0,2.0,50000.0,129.0,948.0,9,2,7,2,2,0,0,0.0,42426.99,46402.0,1
261075,1727802,31,2,5000,5.0,40.0,2.0,9.0,33600.0,108.0,755.0,3,2,1,2,1,1,0,695.0,52058.71,63410.0,2
